,Date,ReacEc_L1
239,2022-06-28T02:37:00Z,112.64
240,2022-06-28T02:38:00Z,112.64
241,2022-06-28T02:39:00Z,112.64
242,2022-06-28T02:40:00Z,112.64
243,2022-06-28T02:41:00Z,112.64
244,2022-06-28T02:42:00Z,112.64
245,2022-06-28T02:43:00Z,112.64
246,2022-06-28T02:44:00Z,112.64
247,2022-06-28T02:45:00Z,112.64
248,2022-06-28T02:46:00Z,112.64
249,2022-06-28T02:47:00Z,112.64
250,2022-06-28T02:48:00Z,112.64
251,2022-06-28T02:49:00Z,112.64
252,2022-06-28T02:50:00Z,112.64
253,2022-06-28T02:51:00Z,112.64
254,2022-06-28T02:52:00Z,112.64
255,2022-06-28T02:53:00Z,112.64
256,2022-06-28T02:54:00Z,112.64
257,2022-06-28T02:55:00Z,112.64
258,2022-06-28T02:56:00Z,112.64
259,2022-06-28T02:57:00Z,112.64
260,2022-06-28T02:58:00Z,112.64
261,2022-06-28T02:59:00Z,112.64
262,2022-06-28T03:00:00Z,112.64
263,2022-06-28T03:01:00Z,112.64
264,2022-06-28T03:02:00Z,112.64
265,2022-06-28T03:03:00Z,112.64
266,2022-06-28T03:04:00Z,112.64
267,2022-06-28T03:05:00Z,112.64
268,2022-06-28T03:06:00Z,112.64
269,2022-06-28T03:07:00Z,112.64
270,2022-06-28T03:08:00Z,112.64
271,2022-06-28T03:09:00Z,112.64
272,2022-06-28T03:10:00Z,112.64
273,2022-06-28T03:11:00Z,112.64
274,2022-06-28T03:12:00Z,112.64
275,2022-06-28T03:13:00Z,112.64
276,2022-06-28T03:14:00Z,112.64
277,2022-06-28T03:15:00Z,112.64
278,2022-06-28T03:16:00Z,112.64
279,2022-06-28T03:17:00Z,112.64
280,2022-06-28T03:18:00Z,112.64
281,2022-06-28T03:19:00Z,112.64
282,2022-06-28T03:20:00Z,112.64
283,2022-06-28T03:21:00Z,112.64
284,2022-06-28T03:22:00Z,112.64
285,2022-06-28T03:23:00Z,112.64
286,2022-06-28T03:24:00Z,112.64
287,2022-06-28T03:25:00Z,112.64
288,2022-06-28T03:26:00Z,112.64
289,2022-06-28T03:27:00Z,112.64
290,2022-06-28T03:28:00Z,112.64
291,2022-06-28T03:29:00Z,112.64
292,2022-06-28T03:30:00Z,112.64
293,2022-06-28T03:31:00Z,112.64
294,2022-06-28T03:32:00Z,112.64
295,2022-06-28T03:33:00Z,112.64
296,2022-06-28T03:34:00Z,112.64
297,2022-06-28T03:35:00Z,112.64
298,2022-06-28T03:36:00Z,112.64
299,2022-06-28T03:37:00Z,112.64
300,2022-06-28T03:38:00Z,112.64
301,2022-06-28T03:39:00Z,112.64
302,2022-06-28T03:40:00Z,112.64
303,2022-06-28T03:41:00Z,112.64
304,2022-06-28T03:42:00Z,112.64
305,2022-06-28T03:43:00Z,112.64
306,2022-06-28T03:44:00Z,112.64
307,2022-06-28T03:45:00Z,112.64
308,2022-06-28T03:46:00Z,112.64
309,2022-06-28T03:47:00Z,112.64
310,2022-06-28T03:48:00Z,112.64
311,2022-06-28T03:49:00Z,112.64
312,2022-06-28T03:50:00Z,112.64
313,2022-06-28T03:51:00Z,112.64
314,2022-06-28T03:52:00Z,112.64
315,2022-06-28T03:53:00Z,112.64
316,2022-06-28T03:54:00Z,112.64
317,2022-06-28T03:55:00Z,112.64
318,2022-06-28T03:56:00Z,112.64
319,2022-06-28T03:57:00Z,112.64
320,2022-06-28T03:58:00Z,112.64
321,2022-06-28T03:59:00Z,112.64
322,2022-06-28T04:00:00Z,112.64
323,2022-06-28T04:01:00Z,112.64
324,2022-06-28T04:02:00Z,112.64
325,2022-06-28T04:03:00Z,112.64
326,2022-06-28T04:04:00Z,112.64
327,2022-06-28T04:05:00Z,112.64
328,2022-06-28T04:06:00Z,112.64
329,2022-06-28T04:07:00Z,112.64
330,2022-06-28T04:08:00Z,112.64
331,2022-06-28T04:09:00Z,112.64
332,2022-06-28T04:10:00Z,112.64
333,2022-06-28T04:11:00Z,112.64
334,2022-06-28T04:12:00Z,112.64
335,2022-06-28T04:13:00Z,112.64
336,2022-06-28T04:14:00Z,112.64
337,2022-06-28T04:15:00Z,112.64
338,2022-06-28T04:16:00Z,112.64
339,2022-06-28T04:17:00Z,112.64
340,2022-06-28T04:18:00Z,112.64
341,2022-06-28T04:19:00Z,112.64
342,2022-06-28T04:20:00Z,112.64
343,2022-06-28T04:21:00Z,112.64
344,2022-06-28T04:22:00Z,112.64
345,2022-06-28T04:23:00Z,112.64
346,2022-06-28T04:24:00Z,112.64
347,2022-06-28T04:25:00Z,112.64
348,2022-06-28T04:26:00Z,112.64
349,2022-06-28T04:27:00Z,112.64
350,2022-06-28T04:28:00Z,112.64
351,2022-06-28T04:29:00Z,112.64
352,2022-06-28T04:30:00Z,112.64
353,2022-06-28T04:31:00Z,112.64
354,2022-06-28T04:32:00Z,112.64
355,2022-06-28T04:33:00Z,112.64
356,2022-06-28T04:34:00Z,112.64
357,2022-06-28T04:35:00Z,112.64
358,2022-06-28T04:36:00Z,112.64
359,2022-06-28T04:37:00Z,112.64
360,2022-06-28T04:38:00Z,112.64
361,2022-06-28T04:39:00Z,112.64
362,2022-06-28T04:40:00Z,112.64
363,2022-06-28T04:41:00Z,112.64
364,2022-06-28T04:42:00Z,112.64
365,2022-06-28T04:43:00Z,112.64
366,2022-06-28T04:44:00Z,112.64
367,2022-06-28T04:45:00Z,112.64
368,2022-06-28T04:46:00Z,112.64
369,2022-06-28T04:47:00Z,112.64
370,2022-06-28T04:48:00Z,112.64
371,2022-06-28T04:49:00Z,112.64
372,2022-06-28T04:50:00Z,112.64
373,2022-06-28T04:51:00Z,112.64
374,2022-06-28T04:52:00Z,112.64
375,2022-06-28T04:53:00Z,112.64
376,2022-06-28T04:54:00Z,112.64
377,2022-06-28T04:55:00Z,112.64
378,2022-06-28T04:56:00Z,112.64
379,2022-06-28T04:57:00Z,112.64
380,2022-06-28T04:58:00Z,112.64
381,2022-06-28T04:59:00Z,112.64
382,2022-06-28T05:00:00Z,112.64
383,2022-06-28T05:01:00Z,112.64
384,2022-06-28T05:02:00Z,112.64
385,2022-06-28T05:03:00Z,112.64
386,2022-06-28T05:04:00Z,112.64
387,2022-06-28T05:05:00Z,112.64
388,2022-06-28T05:06:00Z,112.64
389,2022-06-28T05:07:00Z,112.64
390,2022-06-28T05:08:00Z,112.64
391,2022-06-28T05:09:00Z,112.64
392,2022-06-28T05:10:00Z,112.64
393,2022-06-28T05:11:00Z,112.64
394,2022-06-28T05:12:00Z,112.64
395,2022-06-28T05:13:00Z,112.64
396,2022-06-28T05:14:00Z,112.64
397,2022-06-28T05:15:00Z,112.64
398,2022-06-28T05:16:00Z,112.64
399,2022-06-28T05:17:00Z,112.64
400,2022-06-28T05:18:00Z,112.64
401,2022-06-28T05:19:00Z,112.64
402,2022-06-28T05:20:00Z,112.64
403,2022-06-28T05:21:00Z,112.64
404,2022-06-28T05:22:00Z,112.64
405,2022-06-28T05:23:00Z,112.64
406,2022-06-28T05:24:00Z,112.64
407,2022-06-28T05:25:00Z,112.64
408,2022-06-28T05:26:00Z,112.64
409,2022-06-28T05:27:00Z,112.64
410,2022-06-28T05:28:00Z,112.64
411,2022-06-28T05:29:00Z,112.64
412,2022-06-28T05:30:00Z,112.64
413,2022-06-28T05:31:00Z,112.64
414,2022-06-28T05:32:00Z,112.64
415,2022-06-28T05:33:00Z,112.64
416,2022-06-28T05:34:00Z,112.64
417,2022-06-28T05:35:00Z,112.64
418,2022-06-28T05:36:00Z,112.64
419,2022-06-28T05:37:00Z,112.64
420,2022-06-28T05:38:00Z,112.64
421,2022-06-28T05:39:00Z,112.64
422,2022-06-28T05:40:00Z,112.64
423,2022-06-28T05:41:00Z,112.64
424,2022-06-28T05:42:00Z,112.64
425,2022-06-28T05:43:00Z,112.64
426,2022-06-28T05:44:00Z,112.64
427,2022-06-28T05:45:00Z,112.64
428,2022-06-28T05:46:00Z,112.64
429,2022-06-28T05:47:00Z,112.64
430,2022-06-28T05:48:00Z,112.64
431,2022-06-28T05:49:00Z,112.64
432,2022-06-28T05:50:00Z,112.64
433,2022-06-28T05:51:00Z,112.64
434,2022-06-28T05:52:00Z,112.64
435,2022-06-28T05:53:00Z,112.64
436,2022-06-28T05:54:00Z,112.64
437,2022-06-28T05:55:00Z,112.64
438,2022-06-28T05:56:00Z,112.64
439,2022-06-28T05:57:00Z,112.64
440,2022-06-28T05:58:00Z,112.64
441,2022-06-28T05:59:00Z,112.64
442,2022-06-28T06:00:00Z,112.64
443,2022-06-28T06:01:00Z,112.64
444,2022-06-28T06:02:00Z,112.64
445,2022-06-28T06:03:00Z,112.64
446,2022-06-28T06:04:00Z,112.64
447,2022-06-28T06:05:00Z,112.64
448,2022-06-28T06:06:00Z,112.64
449,2022-06-28T06:07:00Z,112.64
450,2022-06-28T06:08:00Z,112.64
451,2022-06-28T06:09:00Z,112.64
452,2022-06-28T06:10:00Z,112.64
453,2022-06-28T06:11:00Z,112.64
454,2022-06-28T06:12:00Z,112.64
455,2022-06-28T06:13:00Z,112.64
456,2022-06-28T06:14:00Z,112.64
457,2022-06-28T06:15:00Z,112.64
458,2022-06-28T06:16:00Z,112.64
459,2022-06-28T06:17:00Z,112.64
460,2022-06-28T06:18:00Z,112.64
461,2022-06-28T06:19:00Z,112.64
462,2022-06-28T06:20:00Z,112.64
463,2022-06-28T06:21:00Z,112.64
464,2022-06-28T06:22:00Z,112.64
465,2022-06-28T06:23:00Z,112.64
466,2022-06-28T06:24:00Z,112.64
467,2022-06-28T06:25:00Z,112.64
468,2022-06-28T06:26:00Z,112.64
469,2022-06-28T06:27:00Z,112.64
470,2022-06-28T06:28:00Z,112.64
471,2022-06-28T06:29:00Z,112.64
472,2022-06-28T06:30:00Z,112.64
473,2022-06-28T06:31:00Z,112.64
474,2022-06-28T06:32:00Z,112.64
475,2022-06-28T06:33:00Z,112.64
476,2022-06-28T06:34:00Z,112.64
477,2022-06-28T06:35:00Z,112.64
478,2022-06-28T06:36:00Z,112.64
479,2022-06-28T06:37:00Z,112.64
480,2022-06-28T06:38:00Z,112.64
481,2022-06-28T06:39:00Z,112.64
482,2022-06-28T06:40:00Z,112.64
483,2022-06-28T06:41:00Z,112.64
484,2022-06-28T06:42:00Z,112.64
