,Date,RealE_SUM
587,2022-06-28T08:25:00Z,201167833.0299232
588,2022-06-28T08:26:00Z,201174515.32244232
589,2022-06-28T08:27:00Z,201181222.25468346
590,2022-06-28T08:28:00Z,201187897.9766103
591,2022-06-28T08:29:00Z,201194585.197074
592,2022-06-28T08:30:00Z,201201259.2763528
593,2022-06-28T08:31:00Z,201207185.9507408
594,2022-06-28T08:32:00Z,201213548.92917195
595,2022-06-28T08:33:00Z,201220190.79584295
596,2022-06-28T08:34:00Z,201226869.80306613
597,2022-06-28T08:35:00Z,201233542.23969677
598,2022-06-28T08:36:00Z,201240237.6734009
599,2022-06-28T08:37:00Z,201246916.68062395
600,2022-06-28T08:38:00Z,201253595.68784717
601,2022-06-28T08:39:00Z,201260291.12155148
602,2022-06-28T08:40:00Z,201266965.20083028
603,2022-06-28T08:41:00Z,201273645.8507015
604,2022-06-28T08:42:00Z,201280329.78586897
605,2022-06-28T08:43:00Z,201287003.86514777
606,2022-06-28T08:44:00Z,201293677.9444266
607,2022-06-28T08:45:00Z,201300371.73548254
608,2022-06-28T08:46:00Z,201307044.17211315
609,2022-06-28T08:47:00Z,201313719.89404014
610,2022-06-28T08:48:00Z,201320393.97331896
611,2022-06-28T08:49:00Z,201327076.26583824
612,2022-06-28T08:50:00Z,201333753.63041323
613,2022-06-28T08:51:00Z,201340426.06704402
614,2022-06-28T08:52:00Z,201347052.78794253
615,2022-06-28T08:53:00Z,201353672.38141865
616,2022-06-28T08:54:00Z,201360341.53275305
617,2022-06-28T08:55:00Z,201367027.1105687
618,2022-06-28T08:56:00Z,201373707.76043993
619,2022-06-28T08:57:00Z,201380378.55442253
620,2022-06-28T08:58:00Z,201387055.91899756
621,2022-06-28T08:59:00Z,201393744.78210926
622,2022-06-28T09:00:00Z,201400413.9334438
623,2022-06-28T09:01:00Z,201407097.86861128
624,2022-06-28T09:02:00Z,201413776.87583432
625,2022-06-28T09:03:00Z,201420452.5977613
626,2022-06-28T09:04:00Z,201427144.7461694
627,2022-06-28T09:05:00Z,201433813.8975038
628,2022-06-28T09:06:00Z,201440492.90472668
629,2022-06-28T09:07:00Z,201447178.48254234
630,2022-06-28T09:08:00Z,201453847.63387674
631,2022-06-28T09:09:00Z,201460528.28374812
632,2022-06-28T09:10:00Z,201467208.93361938
633,2022-06-28T09:11:00Z,201473883.01289818
634,2022-06-28T09:12:00Z,201480496.50908723
635,2022-06-28T09:13:00Z,201487121.11403218
636,2022-06-28T09:14:00Z,201493798.4786072
637,2022-06-28T09:15:00Z,201500472.557886
638,2022-06-28T09:16:00Z,201507136.78127602
639,2022-06-28T09:17:00Z,201513822.35909164
640,2022-06-28T09:18:00Z,201520501.36631486
641,2022-06-28T09:19:00Z,201527170.51764926
642,2022-06-28T09:20:00Z,201533841.31163183
643,2022-06-28T09:21:00Z,201540523.6041511
644,2022-06-28T09:22:00Z,201547192.75548565
645,2022-06-28T09:23:00Z,201553530.09190142
646,2022-06-28T09:24:00Z,201559708.09145045
647,2022-06-28T09:25:00Z,201566373.95748863
648,2022-06-28T09:26:00Z,201573049.67941564
649,2022-06-28T09:27:00Z,201579727.04399064
650,2022-06-28T09:28:00Z,201586392.91002882
651,2022-06-28T09:29:00Z,201593063.7040114
